Epoch,trn_L2,trn_SNR,val_L2,val_SNR
0,123.7341560144215,-14.158626847562537,120.26391835016834,-14.240977588928107
1,120.74300557194363,-10.417010797353552,119.87755471380471,-10.679843756846491
2,118.90229760734185,-8.717075302902263,120.28664562289562,-8.170392897798482
3,117.89344804981972,-8.27104476988343,118.4684638047138,-7.07976332498418
4,120.57486397902326,-7.685779139143346,119.19573653198654,-6.618488644846806
5,121.88459849229761,-8.528679037276397,120.19573653198654,-8.805578223919976
6,119.52176663389052,-8.1101881803273,119.85482744107745,-7.952149693317937
7,115.64566043920026,-8.902928864900682,120.94573653198653,-9.501448790542781
8,121.07043920026221,-7.024907369455075,120.74119107744107,-6.586460798446117
9,115.71645689937725,-8.98569981480748,122.65028198653198,-9.430389723655852
10,122.39787282858079,-7.232546474104665,123.76391835016835,-7.305235276838313
11,121.67220911176663,-6.653072936360788,118.83210016835017,-6.357601159866053
12,117.87574893477549,-8.893887791485913,127.08210016835015,-9.184798643225804
13,116.86689937725336,-8.481276718562038,118.69573653198654,-8.364751037970453
14,120.25627990822682,-8.17671572709261,124.96846380471382,-8.181174991271375
15,119.3624745984923,-7.860519370895444,118.8093728956229,-7.953947561270924
16,120.40672238610291,-7.179257702624294,123.35482744107743,-7.1564113455048455
17,123.39787282858079,-6.992320687174649,121.80937289562289,-6.677365583348684
18,119.90229760734185,-7.053674902852108,119.4684638047138,-6.623605675985208
19,122.11468698787283,-6.914455712948473,122.08210016835015,-6.0997214134040405
20,118.50406751884628,-7.208168198261479,120.90028198653198,-6.900400269046341
